20:56:21.733900,   total files: 3,  size: 5M,   proc load: 1.73 2.01 1.35 5/661 5661
20:56:31.436993,   total files: 3,  size: 5M,   proc load: 1.85 2.02 1.37 1/664 5914
20:56:33.985451,   total files: 3,  size: 5M,   proc load: 1.85 2.02 1.37 3/661 6123
20:56:35.760032,   total files: 3,  size: 5M,   proc load: 1.78 2.01 1.36 1/663 6221
20:56:38.322281,   total files: 3,  size: 5M,   proc load: 1.78 2.01 1.36 2/662 6369
20:56:41.962750,   total files: 3,  size: 5M,   proc load: 1.88 2.02 1.37 3/659 6663
20:56:46.411359,   total files: 3,  size: 5M,   proc load: 2.21 2.09 1.40 1/662 7039
20:56:46.897831,   total files: 3,  size: 5M,   proc load: 2.21 2.09 1.40 3/662 7084
20:56:47.405301,   total files: 3,  size: 5M,   proc load: 2.21 2.09 1.40 3/662 7129
20:56:49.925494,   total files: 3,  size: 5M,   proc load: 2.36 2.12 1.41 4/660 7176
20:56:53.559849,   total files: 3,  size: 5M,   proc load: 2.36 2.12 1.41 3/663 7512
20:57:00.329659,   total files: 3,  size: 5M,   proc load: 2.62 2.18 1.44 1/663 8054
20:57:03.993743,   total files: 3,  size: 5M,   proc load: 2.62 2.18 1.44 4/660 8351
20:57:05.472681,   total files: 3,  size: 5M,   proc load: 2.57 2.18 1.44 2/661 8449
20:58:35.089360,   total files: 3,  size: 5M,   proc load: 2.94 2.43 1.60 10/665 8722
20:58:42.966816,   total files: 3,  size: 5M,   proc load: 2.87 2.42 1.60 4/665 8974
20:58:46.318229,   total files: 3,  size: 5M,   proc load: 3.60 2.58 1.66 7/662 9183
20:58:47.948414,   total files: 3,  size: 5M,   proc load: 3.60 2.58 1.66 9/664 9281
20:58:51.250805,   total files: 3,  size: 5M,   proc load: 4.03 2.69 1.70 4/664 9431
20:58:55.537931,   total files: 3,  size: 5M,   proc load: 3.71 2.64 1.69 3/666 9726
20:59:00.039683,   total files: 3,  size: 5M,   proc load: 3.73 2.67 1.70 3/663 10102
20:59:00.568617,   total files: 3,  size: 5M,   proc load: 3.73 2.67 1.70 1/663 10147
20:59:01.111356,   total files: 3,  size: 5M,   proc load: 3.73 2.67 1.70 7/661 10192
20:59:03.712300,   total files: 3,  size: 5M,   proc load: 3.73 2.67 1.70 7/660 10239
20:59:07.776406,   total files: 3,  size: 5M,   proc load: 4.63 2.87 1.77 6/660 10574
20:59:14.771061,   total files: 3,  size: 5M,   proc load: 4.66 2.91 1.79 3/660 11116
20:59:18.144414,   total files: 3,  size: 5M,   proc load: 4.45 2.89 1.79 2/660 11413
20:59:19.703642,   total files: 3,  size: 5M,   proc load: 4.45 2.89 1.79 3/661 11511
12:09:26.737651,   total files: 3,  size: 5M,   proc load: 3.44 3.05 1.46 5/674 5150
12:09:35.947910,   total files: 3,  size: 5M,   proc load: 3.85 3.15 1.51 4/677 5450
12:09:39.671465,   total files: 3,  size: 5M,   proc load: 3.85 3.15 1.51 7/675 5698
12:09:41.570066,   total files: 3,  size: 5M,   proc load: 4.26 3.24 1.55 5/672 5796
12:09:44.614251,   total files: 3,  size: 5M,   proc load: 4.26 3.24 1.55 2/673 5944
12:09:48.916364,   total files: 3,  size: 5M,   proc load: 4.32 3.27 1.57 4/668 6244
12:09:54.010477,   total files: 3,  size: 5M,   proc load: 4.14 3.25 1.57 1/669 6620
12:09:54.718369,   total files: 3,  size: 5M,   proc load: 4.14 3.25 1.57 7/664 6665
12:09:55.163338,   total files: 3,  size: 5M,   proc load: 4.05 3.25 1.58 11/664 6710
12:09:58.401868,   total files: 3,  size: 5M,   proc load: 4.05 3.25 1.58 9/667 6757
12:10:05.212544,   total files: 3,  size: 5M,   proc load: 5.65 3.61 1.72 10/667 7097
12:10:13.981206,   total files: 3,  size: 5M,   proc load: 5.36 3.58 1.72 9/662 7640
12:10:20.445296,   total files: 3,  size: 5M,   proc load: 5.52 3.67 1.77 11/664 7941
12:10:22.586588,   total files: 3,  size: 5M,   proc load: 5.52 3.67 1.77 3/668 8040
12:12:19.274126,   total files: 3,  size: 5M,   proc load: 3.07 3.45 1.92 6/676 8341
12:12:27.329701,   total files: 3,  size: 5M,   proc load: 2.98 3.42 1.93 5/677 8632
12:12:31.142485,   total files: 3,  size: 5M,   proc load: 3.86 3.60 1.99 6/676 8880
12:12:33.054154,   total files: 3,  size: 5M,   proc load: 3.86 3.60 1.99 2/675 8978
12:12:35.280331,   total files: 3,  size: 5M,   proc load: 4.11 3.65 2.02 2/675 9126
12:12:38.976346,   total files: 3,  size: 5M,   proc load: 4.11 3.65 2.02 1/675 9420
12:12:45.920328,   total files: 3,  size: 5M,   proc load: 4.76 3.80 2.08 7/675 9796
12:12:47.033985,   total files: 3,  size: 5M,   proc load: 4.76 3.80 2.08 7/673 9841
12:12:47.574029,   total files: 3,  size: 5M,   proc load: 4.76 3.80 2.08 5/673 9886
12:12:50.751702,   total files: 3,  size: 5M,   proc load: 5.42 3.95 2.14 1/675 9933
12:12:54.578269,   total files: 3,  size: 5M,   proc load: 5.42 3.95 2.14 2/672 10268
12:13:01.110786,   total files: 3,  size: 5M,   proc load: 4.96 3.90 2.15 2/670 10810
12:13:06.298265,   total files: 3,  size: 5M,   proc load: 4.89 3.91 2.16 3/672 11107
12:13:07.806066,   total files: 3,  size: 5M,   proc load: 4.89 3.91 2.16 4/664 11205
